iter	Passed	Remaining
743	60740	184182
744	60805	184049
745	60891	183981
746	60974	183902
747	61041	183777
748	61127	183708
749	61200	183600
750	61301	183577
751	61390	183517
752	61455	183388
753	61541	183318
754	61616	183217
755	61697	183134
756	61780	183055
757	61874	183010
758	61950	182913
759	62036	182844
760	62124	182781
761	62210	182712
762	62308	182678
763	62372	182545
764	62461	182484
765	62546	182414
766	62634	182349
767	62719	182279
768	62798	182189
769	62876	182097
770	62973	182058
771	63072	182029
772	63156	181953
773	63254	181919
774	63332	181824
775	63415	181746
776	63491	181649
777	63585	181601
778	63667	181521
779	63741	181417
780	63831	181360
781	63921	181302
782	64016	181258
783	64114	181222
784	64210	181180
785	64302	181126
786	64387	181055
787	64454	180930
788	64531	180834
789	64628	180797
790	64719	180739
791	64809	180680
792	64899	180621
793	64993	180575
794	65086	180523
795	65174	180458
796	65270	180416
797	65360	180356
798	65449	180294
799	65548	180257
800	65622	180154
801	65725	180129
802	65811	180060
803	65892	179975
804	65979	179906
805	66059	179819
806	66147	179753
807	66239	179698
808	66324	179625
809	66407	179546
810	66501	179496
811	66596	179449
812	66689	179397
813	66775	179326
814	66870	179279
815	66938	179159
816	67029	179100
817	67125	179056
818	67225	179021
819	67311	178949
820	67402	178892
821	67471	178775
822	67545	178672
823	67630	178596
824	67702	178489
825	67799	178445
826	67884	178371
827	67976	178315
828	68070	178264
829	68159	178200
830	68242	178120
831	68310	178001
832	68370	177862
833	68438	177744
834	68519	177657
835	68606	177588
836	68693	177519
837	68789	177474
838	68881	177416
839	68969	177349
840	69063	177297
841	69148	177222
842	69230	177140
843	69296	177019
844	69383	176947
845	69472	176882
846	69550	176792
847	69618	176673
848	69689	176562
849	69777	176496
850	69861	176418
851	69946	176343
852	70044	176301
853	70137	176246
854	70233	176199
855	70332	176158
856	70419	176090
857	70513	176037
858	70579	175915
859	70677	175872
860	70771	175819
861	70862	175759
862	70942	175670
863	71029	175600
864	71124	175549
865	71210	175477
866	71287	175382
867	71354	175261
868	71445	175202
869	71533	175133
870	71606	175029
871	71717	175016
872	71805	174949
873	71885	174861
874	71976	174800
875	72074	174756
876	72162	174686
877	72241	174597
878	72327	174525
879	72425	174480
880	72518	174424
881	72601	174341
882	72709	174320
883	72773	174195
884	72863	174131
885	72934	174021
886	73024	173957
887	73123	173916
888	73207	173837
889	73300	173780
890	73398	173735
891	73498	173694
892	73593	173640
893	73690	173592
894	73779	173526
895	73864	173449
896	73955	173387
897	74050	173333
898	74122	173227
899	74209	173154
900	74274	173032
901	74365	172970
902	74449	172890
903	74548	172846
904	74644	172795
905	74733	172727
906	74824	172665
907	74911	172594
908	74991	172506
909	75067	172406
910	75161	172352
911	75259	172305
912	75351	172244
913	75444	172184
914	75526	172101
915	75606	172013
916	75701	171959
917	75783	171875
918	75864	171788
919	75957	171729
920	76046	171662
921	76125	171570
922	76215	171505
923	76281	171385
924	76348	171267
925	76440	171206
926	76528	171137
927	76621	171076
928	76699	170985
929	76808	170961
930	76894	170886
931	76983	170816
932	77072	170748
933	77161	170680
934	77249	170609
935	77337	170538
936	77419	170455
937	77508	170387
938	77600	170324
939	77686	170249
940	77773	170175
941	77852	170085
942	77951	170038
943	78034	169957
944	78120	169881
945	78209	169812
946	78301	169750
947	78385	169669
948	78467	169586
949	78556	169516
950	78641	169439
951	78727	169362
952	78815	169291
953	78888	169188
954	78980	169126
955	79070	169059
956	79161	168993
957	79242	168906
958	79332	168840
959	79397	168720
960	79487	168651
961	79584	168600
962	79682	168549
963	79761	168458
964	79846	168381
965	79932	168304
966	80028	168249
967	80110	168165
968	80192	168082
969	80287	168023
970	80393	167989
971	80479	167913
972	80564	167835
973	80643	167745
974	80740	167691
975	80837	167637
976	80913	167541
977	80996	167459
978	81091	167402
979	81176	167322
980	81265	167253
981	81346	167166
982	81425	167074
983	81524	167025
984	81611	166951
985	81690	166860
986	81778	166788
987	81863	166709
988	81952	166640
989	82030	166546
990	82125	166489
991	82227	166444
992	82319	166379
993	82412	166317
994	82494	166232
995	82578	166151
996	82677	166101
997	82760	166019
998	82834	165918
999	82926	165853
1000	83011	165774
1001	83106	165716
1002	83191	165636
1003	83287	165578
1004	83390	165536
1005	83480	165467
1006	83558	165375
1007	83632	165273
1008	83723	165207
1009	83813	165137
1010	83908	165077
1011	83976	164966
1012	84066	164896
1013	84148	164812
1014	84237	164740
1015	84330	164677
1016	84399	164566
1017	84492	164502
1018	84580	164430
1019	84679	164377
1020	84769	164309
1021	84845	164211
1022	84932	164136
1023	85011	164046
1024	85079	163934
1025	85166	163858
1026	85246	163769
1027	85327	163683
1028	85399	163579
1029	85476	163483
1030	85574	163430
1031	85660	163352
1032	85726	163238
1033	85811	163158
1034	85894	163075
1035	85982	163001
1036	86069	162925
1037	86154	162846
1038	86233	162756
1039	86313	162668
1040	86407	162605
1041	86490	162521
1042	86578	162448
1043	86660	162363
1044	86740	162275
1045	86806	162160
1046	86893	162084
1047	86987	162022
1048	87070	161938
1049	87154	161857
1050	87242	161785
1051	87321	161694
1052	87426	161652
1053	87518	161585
1054	87633	161561
1055	87734	161511
1056	87819	161432
1057	87909	161361
1058	87984	161262
1059	88070	161185
1060	88144	161085
1061	88236	161019
1062	88349	160990
1063	88445	160931
1064	88517	160827
1065	88618	160777
1066	88701	160694
1067	88783	160608
1068	88883	160556
1069	88962	160464
1070	89057	160403
1071	89163	160360
1072	89245	160275
1073	89331	160198
1074	89421	160126
1075	89523	160076
1076	89611	160003
1077	89707	159942
1078	89777	159834
1079	89857	159747
1080	89951	159682
1081	90028	159588
1082	90112	159506
1083	90199	159430
1084	90281	159345
